API,Constraint_Type,TP,FP,FN,Precision,Recall,F1
Canada Holidays API,Request-Response,0,3,0,-,-,-
GitLab Branch API,Request-Response,10,5,39,66.7,20.4,31.2
GitLab Commit API,Request-Response,20,16,53,55.6,27.4,36.7
GitLab Groups API,Request-Response,18,4,67,81.8,21.2,33.6
GitLab Issues API,Request-Response,76,33,65,69.7,53.9,60.8
GitLab Project API,Request-Response,22,12,122,64.7,15.3,24.7
GitLab Repository API,Request-Response,5,10,39,33.3,11.4,16.9
StripeClone API,Request-Response,15,13,4,53.6,78.9,63.8
Canada Holidays API,Response-property,12,4,12,75.0,50.0,60.0
StripeClone API,Response-property,19,27,2,41.3,90.5,56.7
